RoomID,Building,Capacity,Features
R101,Lab Building,65,Projector;Whiteboard;Lab
R102,Main Building,50,Lab;Projector
R103,Lab Building,50,Whiteboard;Lab
R104,Eng Block,80,Whiteboard;Lab
R105,CS Building,60,Whiteboard;Projector
R106,Main Building,50,Projector;Lab;Whiteboard
R107,Lab Building,80,Lab;Projector
R108,CS Building,50,Projector;Lab;Whiteboard
R109,CS Building,50,Whiteboard;Projector
R110,Eng Block,60,Whiteboard;Lab
R111,CS Building,100,Lab;Whiteboard;Projector
R112,Eng Block,60,Projector;Lab;Whiteboard
R113,CS Building,50,Lab;Whiteboard
R114,Eng Block,100,Whiteboard;Projector;Lab
R115,Eng Block,50,Lab;Projector
R116,Eng Block,80,Lab;Whiteboard;Projector
R117,Lab Building,80,Whiteboard;Lab
R118,CS Building,100,Projector;Whiteboard;Lab
R119,Main Building,80,Lab;Whiteboard
R120,Main Building,80,Projector;Whiteboard
R121,CS Building,100,Whiteboard;Projector
R122,CS Building,60,Lab;Projector
R123,Main Building,100,Lab;Projector;Whiteboard
R124,Lab Building,60,Projector;Whiteboard
